source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
AP,TENE001,28.2693,-16.738,1759.4394240200809,260.935908478859,260.935908478859
AP,TENE002,28.2669,-16.7263,1918.1580989837648,261.07004997208287,261.07004997208287
AP,TENE003,28.2667,-16.721,1976.1034587860108,263.7378867340902,263.7378867340902
AP,TENE004,28.2659,-16.7095,2120.6968191070555,267.23595035759,267.23595035759
AP,TENE005,28.2637,-16.7108,2117.989319084168,266.2574337202535,266.2574337202535
AP,TENE006,28.2645,-16.7214,1971.6021004426573,264.02397665364816,264.02397665364816
AP,TENE007,28.2548,-16.717,1981.751154158325,267.6044063763836,267.6044063763836
AP,TENE008,28.2762,-16.741,1723.382421791687,257.4533492146444,257.4533492146444
AP,TENE009,28.2775,-16.7509,1671.4779413841247,255.9256252728756,255.9256252728756
AP,TENE010,28.2593,-16.74,1704.1262314117432,264.17431007348387,264.17431007348387
AP,TENE011,28.2768,-16.7303,1835.682919311524,260.6970929904345,260.6970929904345
AP,TENE012,28.2851,-16.762,1510.4367015649414,257.63989756629815,257.63989756629815
AP,TENE013,28.2581,-16.7538,1511.5691957670288,262.9958847801535,262.9958847801535
AP,TENE014,28.2574,-16.7622,1414.367219291504,260.0192022668799,260.0192022668799
AP,TENE015,28.267,-16.7621,1464.6813502954103,261.3438915003729,261.3438915003729
AP,TENE016,28.2756,-16.761,1533.0748742596434,256.72340832177645,256.72340832177645
AP,TENE017,28.2506,-16.7398,1650.7264194264526,265.75475043209497,265.75475043209497
AP,TENE018,28.2506,-16.7322,1746.110830265564,267.0901612476058,267.0901612476058
AP,TENE019,28.2397,-16.7191,1817.004837105499,274.9807343684963,274.9807343684963
AP,TENE020,28.2498,-16.7088,2064.5208162282715,272.22477963872245,272.22477963872245
AP,TENE021,28.2679,-16.7691,1402.1972277942352,259.76385465516887,259.76385465516887
AP,TENE022,28.2577,-16.7697,1330.3746597598267,258.6105150712746,258.6105150712746
AP,TENE023,28.2673,-16.7808,1257.3511001798706,256.7985928418556,256.7985928418556
AP,TENE024,28.2858,-16.7851,1305.3662140116578,258.6540560371251,258.6540560371251
AP,TENE025,28.2944,-16.7773,1350.9144718892824,256.4421932725241,256.4421932725241
AP,TENE026,28.2912,-16.7663,1465.756434612854,255.7979579791444,255.7979579791444
AP,TENE027,28.3013,-16.7622,1452.7301901234132,252.58502921835043,252.58502921835043
AP,TENE028,28.2732,-16.7844,1252.897940427002,256.9641448939239,256.9641448939239
AP,TENE029,28.2747,-16.7681,1436.1978935722198,258.3923341721916,258.3923341721916
AP,TENE030,28.2846,-16.7713,1445.137221164612,256.822670891772,256.822670891772
