Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,930003,28.470277777777778,-16.247222222222224,10.149,no encontrada,no encontrada,979398.9
Tenerife,931001,28.475555555555555,-16.24888888888889,28.5925,no encontrada,no encontrada,979394.79
Tenerife,931002,28.471944444444443,-16.255277777777778,52.7189,no encontrada,no encontrada,979388.87
Tenerife,931003,28.46972222222222,-16.259722222222223,62.3199,no encontrada,no encontrada,979386.13
Tenerife,931004,28.464444444444442,-16.26222222222222,72.8529,no encontrada,no encontrada,979381.98
Tenerife,931005,28.459166666666665,-16.26388888888889,75.2698,no encontrada,no encontrada,979379.1
Tenerife,932001,28.45888888888889,-16.25611111111111,49.0165,no encontrada,no encontrada,979383.38
Tenerife,932002,28.459444444444443,-16.253333333333334,18.9541,no encontrada,no encontrada,979389.69
Tenerife,932003,28.461111111111112,-16.249166666666667,4.3687,no encontrada,no encontrada,979392.01
Tenerife,932004,28.46611111111111,-16.247222222222224,4.7428,48315,0.05,979394.77
Tenerife,932005,28.47083333333333,-16.246944444444445,8.7556,no encontrada,no encontrada,979396.41
Tenerife,932006,28.473055555555554,-16.247222222222224,8.8779,51,no encontrada,979399.06
Tenerife,932007,28.47861111111111,-16.24361111111111,8.9121,no encontrada,no encontrada,979398.07
Tenerife,932009,28.476388888888888,-16.24638888888889,11.1178,55081,0.05,9793988.92
Tenerife,932010,28.4775,-16.244722222222222,8.8193,52994,0.05,9793993.14
Tenerife,932011,28.476388888888888,-16.246111111111112,11.1248,55081,0.05,9793988.92
Tenerife,932015,28.4775,-16.246111111111112,8.8263,52994,0.05,9793993.14
Tenerife,932016,28.477777777777778,-16.246111111111112,10.1562,no encontrada,no encontrada,979398.9
Tenerife,932017,28.47694444444444,-16.246111111111112,3.7725,47653,0.05,979399074.0
Tenerife,932018,28.572499999999998,-16.24638888888889,4.1682,no encontrada,no encontrada,979399382.0
Tenerife,933001,28.45611111111111,-16.266944444444444,84.3081,no encontrada,no encontrada,979376.31
Tenerife,933002,28.451666666666664,-16.27138888888889,105.2885,no encontrada,no encontrada,979369.81
Tenerife,933003,28.446944444444444,-16.274444444444445,118.7142,163053,no encontrada,979364.31
Tenerife,934001,28.450277777777778,-16.2775,169.9857,no encontrada,no encontrada,979356.11
Tenerife,934002,28.449166666666667,-16.280833333333334,172.0708,no encontrada,no encontrada,979356.12
Tenerife,934003,28.448055555555555,-16.283611111111114,214.0944,no encontrada,no encontrada,979347.22
Tenerife,934004,28.447777777777777,-16.283333333333335,214.9611,259480,no encontrada,979347.03
Tenerife,934005,28.446666666666665,-16.289166666666667,257.0595,301434,no encontrada,979338.56
Tenerife,934006,28.450277777777778,-16.291111111111114,297.1634,no encontrada,no encontrada,979333.01
Tenerife,934007,28.456944444444442,-16.29361111111111,341.3372,no encontrada,no encontrada,979326.52
Tenerife,934008,28.460555555555555,-16.297500000000003,375.3891,no encontrada,no encontrada,979321.15
Tenerife,934009,28.460555555555555,-16.297500000000003,378.1839,422809,no encontrada,979320.72
