Station;Date;Base;Recording_Time_min;Mean_nb_satellite;Latitude;Longitude;Elevation (m);Diff_Elevation_m;Abs_Diff_Elevation_m;Distance_km;Lat_Std_Dev_cm;Lat_Std_Err_cm;Lat_med_diff_cm;Lon_Std_Dev_cm;Lon_Std_Err_cm;Lon_med_diff_cm;Height_Std_Dev_cm;Height_Std_Err_cm;Height_med_diff_cm;Q
3RDB;2024/04/02;IZAN;25;6,2;28,23467194;-16,6298307;2224,2171;-193,1873;193,1873;15,1;0,94;0,0241;0,022;0,53;0,0136;0,1939;8,85;0,2283;2,0218;1
CAMI1;2024/07/31;IZAN;16;7,1;28,33027952;-16,5320114;1627,8385;-789,5659;789,5659;4,1;3,59;0,1158;0,2061;3,65;0,1178;1,1315;17,62;0,5685;0,3412;2
CAMI2;2024/07/31;IZAN;15,38;6,9;28,33115231;-16,52385337;1717,3973;-700,0071;700,0071;3,6;0,56;0,0186;0,1897;0,88;0,029;0,3405;14,58;0,4797;5,7499;1
CAMI3;2024/07/31;IZAN;15,55;5,8;28,33688079;-16,50579751;1818,4715;-598,9329;598,9329;3,3;1,08;0,0355;0,0742;1,3;0,0427;0,2898;5,48;0,1794;0,5457;2
CAMI4;2024/07/31;IZAN;15,05;7,2;28,32786663;-16,5105177;1957,0007;-460,4037;460,4037;2,5;0,3;0,01;0,1546;0,18;0,0058;0,0107;1,09;0,0362;0,3421;1
CAMI5;2024/07/31;IZAN;15,05;7,2;28,3197011;-16,51381376;2011,3112;-406,0932;406,0932;1,9;0,19;0,0062;0,0517;0,43;0,0144;0,1027;2,09;0,0696;0,3881;1
CAMI6;2024/07/31;IZAN;15,08;9;28,32061618;-16,5023996;2121,0476;-296,3568;296,3568;1,4;0,02;0,0007;0,0082;0,13;0,0043;0,0401;0,47;0,0157;0,1727;1
CAMI7;2024/07/31;IZAN;15,18;7,5;28,307786;-16,51819795;2302,5062;-114,8982;114,8982;1,8;0,06;0,0021;0,0141;0,04;0,0014;0,0053;0,6;0,02;0,1779;1
CAMI8;2024/07/31;IZAN;15;8,1;28,28732827;-16,51274691;2233,0811;-184,3233;184,3233;2,6;0,15;0,0048;0,0489;0,03;0,0009;0,0031;1,73;0,0578;0,0446;1
CAMI9;2024/07/31;IZAN;15,02;8;28,297288;-16,5113629;2379,405;-37,9994;37,9994;1,7;0,07;0,0023;0,0112;0,06;0,0021;0,0252;0,28;0,0095;0,0575;1
CARA;2024/07/31;IZAN;15;9;28,30684047;-16,53620543;2263,927;-153,4774;153,4774;3,6;0,02;0,0008;0,0085;0,01;0,0004;0,0039;0,56;0,0188;0,0876;1
CHIP;2024/04/02;IZAN;23,22;6;28,37399983;-16,46387039;1946,8109;-470,5935;470,5935;8,1;0,2;0,0055;0,0378;0,28;0,0074;0,0166;2,79;0,0748;0,3185;1
FA00;2024/05/03;IZAN;5,07;7;28,28097303;-16,51485468;2222,5816;-194,8228;194,8228;3,4;0,27;0,0153;0,0366;0,08;0,0045;0,0105;0,72;0,0413;0,0681;1
FA01;2024/05/03;IZAN;5,22;6;28,28096989;-16,51502158;2222,7936;-194,6108;194,6108;3,4;0,02;0,001;0,0051;0,03;0,0016;0,0067;0,51;0,0289;0,1454;1
FA02;2024/05/03;IZAN;5,08;6;28,28106794;-16,51519414;2223,4224;-193,982;193,982;3,4;0,19;0,0108;0,0142;0,36;0,0203;0,0208;7,54;0,4308;0,4524;1
FA03;2024/05/03;IZAN;5,08;7;28,28112094;-16,51530849;2223,8848;-193,5196;193,5196;3,4;0,04;0,0021;0,0021;0,04;0,0023;0,0007;0,2;0,0116;0,0374;1
FA04;2024/05/03;IZAN;5,07;7,6;28,28119048;-16,51546059;2225,1617;-192,2427;192,2427;3,4;0,09;0,0054;0,0042;0,13;0,0077;0,017;2,3;0,1316;0,238;1
FA05;2024/05/03;IZAN;5,03;8;28,28120412;-16,51555056;2225,3112;-192,0932;192,0932;3,4;0,1;0,0058;0,0124;0,1;0,0058;0,0102;1,65;0,0949;0,167;1
FA06;2024/05/03;IZAN;5;8;28,28124865;-16,51566558;2225,4316;-191,9728;191,9728;3,4;0,18;0,0104;0,0098;0,08;0,0049;0,0043;3,61;0,208;0,2229;1
FA07;2024/05/03;IZAN;5,3;8;28,28139301;-16,51597592;2226,5355;-190,8689;190,8689;3,4;0,1;0,0059;0,0106;0,05;0,003;0,0008;2,56;0,1431;0,0565;1
FA08;2024/05/09;IZAN;15;8,8;28,28183549;-16,51678611;2234,1424;-183,262;183,262;3,4;0,03;0,0009;0,0021;0,01;0,0002;0,0001;0,28;0,0093;0,0469;1
FA09;2024/05/09;IZAN;16,23;8,6;28,27277251;-16,51624688;2197,4417;-219,9627;219,9627;4,2;0,03;0,0009;0,0099;0,17;0,0055;0,0573;2,25;0,0722;0,641;1
FA10;2024/05/09;IZAN;15;8,6;28,25952427;-16,51998889;2080,8778;-336,5266;336,5266;5,7;0,08;0,0027;0,0233;0,11;0,0036;0,0046;1,29;0,0431;0,1377;1
FA11;2024/05/09;IZAN;15;7,1;28,27622511;-16,50894146;2146,0544;-271,35;271,35;3,7;0,14;0,0046;0,0097;0,07;0,0023;0,0086;0,6;0,0201;0,0398;1
FA12;2024/05/09;IZAN;15;7;28,26863323;-16,49589557;1782,4822;-634,9222;634,9222;4,4;0,04;0,0014;0,0084;0,05;0,0017;0,0016;0,4;0,0134;0,0694;1
FA13;2024/05/09;IZAN;21,62;6,6;28,25831285;-16,48456398;1390,7771;-1026,6273;1026,6273;5,8;1,21;0,0335;0,9668;0,3;0,0082;0,0929;3,11;0,0862;1,4406;1
FA14;2024/05/09;IZAN;15;6;28,26941109;-16,48100402;1433,6225;-983,7819;983,7819;4,8;0,27;0,0092;0,0178;0,19;0,0065;0,0339;3,34;0,1113;1,3074;1
FA15;2024/05/09;IZAN;14,98;7,3;28,25244423;-16,45984004;923,4725;-1493,9319;1493,9319;7,5;0,72;0,0238;0,098;0,55;0,0182;0,0792;2,74;0,0915;0,0646;2
GUI00;2024/05/06;IZAN;15,03;7;28,30673864;-16,4364392;689,5296;-1727,8748;1727,8748;6,4;0,04;0,0012;0,0045;0,04;0,0013;0,0044;0,39;0,013;0,0867;1
GUI01;2024/05/06;IZAN;15,05;8;28,32058094;-16,43988985;834,8216;-1582,5828;1582,5828;6,2;0,26;0,0087;0,0326;0,16;0,0053;0,0172;3,24;0,1076;0,4322;1
GUI02;2024/05/06;IZAN;24,98;7,2;28,31643457;-16,45811942;1376,7636;-1040,6408;1040,6408;4,3;0,55;0,0142;0,0562;0,18;0,0046;0,0616;3,33;0,0861;1,4657;1
GUI03;2024/05/06;IZAN;15,02;7;28,31872341;-16,4477863;1068,7221;-1348,6823;1348,6823;5,4;0,18;0,0059;0,0714;0,05;0,0015;0,001;2,13;0,071;0,7236;1
GUI04;2024/05/06;IZAN;15,02;6,8;28,34209186;-16,45900712;1496,8793;-920,5251;920,5251;5,6;0,15;0,0049;0,0158;0,09;0,0031;0,0065;0,37;0,0122;0,0313;1
GUI05;2024/05/06;IZAN;15,85;8;28,33991031;-16,45188898;1331,5884;-1085,816;1085,816;6;0,12;0,0039;0,0475;0,12;0,0039;0,0134;1,88;0,0608;0,2186;1
GUI06;2024/05/06;IZAN;15,75;7,4;28,33286698;-16,45398799;1209,9278;-1207,4766;1207,4766;5,4;0,95;0,031;0,0244;1,3;0,0423;0,0409;9,48;0,3083;0,6416;1
GUI07;2024/05/08;TN01;15,5;7,1;28,45425389;-16,32689807;625,4108;573,6577;573,6577;8,8;1,51;0,0495;0,7385;4,77;0,1565;16,9049;4,74;0,1554;2,0155;2
GUI08;2024/05/08;TN01;15;7;28,43513265;-16,34008908;667,7622;616,0091;616,0091;10,8;0,07;0,0022;0,014;0,04;0,0013;0,0124;0,36;0,0119;0,1559;1
GUI09;2024/05/08;TN01;15,02;6;28,4112482;-16,34804163;535,9987;484,2456;484,2456;12,8;1,13;0,0377;3,7622;3,51;0,1168;4,9709;10,06;0,3349;1,6952;2
