Date,Time,ObsG,Dial,Feedback Correction,Earthtide,Level Correction,Temperature Correction,Temperature Frequency,Beam Frequency,Cross Level Frequency,Long Level Frequency,Note,G_corr,datetime
2024/05/17,14:25:30,0.12474,2834.0,0.077477,0.008488,0.0,0.0378,0,7492,9370,11740,No notes.,0.11625200000000001,2024-05-17 14:25:30
2024/05/17,14:26:00,0.124844,2834.0,0.085424,0.008629,0.0,0.0378,0,7476,9369,11741,No notes.,0.116215,2024-05-17 14:26:00
2024/05/17,14:26:30,0.125035,2834.0,0.08741,0.008769,0.0,0.0378,0,7475,9372,11740,No notes.,0.11626600000000001,2024-05-17 14:26:30
2024/05/17,14:27:00,0.125264,2834.0,0.094364,0.008908,0.0,0.0378,0,7460,9366,11739,No notes.,0.11635599999999999,2024-05-17 14:27:00
2024/05/17,14:27:30,0.125438,2834.0,0.094364,0.009047,0.0,0.0378,0,7458,9364,11740,No notes.,0.116391,2024-05-17 14:27:30
2024/05/17,14:28:00,0.125545,2834.0,0.08741,0.009185,0.0,0.0378,0,7476,9367,11739,No notes.,0.11635999999999999,2024-05-17 14:28:00
2024/05/17,14:28:30,0.125704,2834.0,0.088404,0.009322,0.0,0.0378,0,7474,9365,11741,No notes.,0.11638200000000001,2024-05-17 14:28:30
2024/05/17,14:29:00,0.125806,2834.0,0.089397,0.009459,0.0,0.0378,0,7469,9363,11742,No notes.,0.116347,2024-05-17 14:29:00
2024/05/17,14:29:30,0.125848,2834.0,0.088404,0.009595,0.0,0.0378,0,7471,9365,11740,No notes.,0.116253,2024-05-17 14:29:30
2024/05/17,14:30:00,0.125993,2834.0,0.085424,0.009731,0.0,0.0378,0,7481,9365,11741,No notes.,0.11626199999999999,2024-05-17 14:30:00
2024/05/17,14:30:30,0.126135,2834.0,0.086417,0.009866,0.0,0.0378,0,7482,9366,11740,No notes.,0.116269,2024-05-17 14:30:30
2024/05/17,14:31:00,0.126135,2834.0,0.077477,0.01,0.0,0.0378,0,7494,9364,11741,No notes.,0.116135,2024-05-17 14:31:00
2024/05/17,14:31:30,0.126137,2834.0,0.09039,0.010134,0.0,0.0378,0,7473,9365,11742,No notes.,0.116003,2024-05-17 14:31:30
2024/05/17,14:32:00,0.126271,2834.0,0.091384,0.010267,0.0,0.0378,0,7462,9365,11742,No notes.,0.116004,2024-05-17 14:32:00
2024/05/17,14:32:30,0.126482,2834.0,0.083437,0.0104,0.0,0.0378,0,7486,9366,11742,No notes.,0.11608200000000002,2024-05-17 14:32:30
2024/05/17,14:33:00,0.126626,2834.0,0.089397,0.010532,0.0,0.0378,0,7471,9364,11740,No notes.,0.11609399999999999,2024-05-17 14:33:00
2024/05/17,14:33:30,0.12675,2834.0,0.086417,0.010663,0.0,0.0378,0,7478,9364,11740,No notes.,0.116087,2024-05-17 14:33:30
2024/05/17,14:34:00,0.126841,2834.0,0.09039,0.010793,0.0,0.0378,0,7471,9364,11741,No notes.,0.11604800000000001,2024-05-17 14:34:00
2024/05/17,14:34:30,0.126961,2834.0,0.088404,0.010923,0.0,0.0378,0,7475,9364,11739,No notes.,0.11603799999999999,2024-05-17 14:34:30
2024/05/17,14:35:00,0.127059,2834.0,0.09039,0.011053,0.0,0.0378,0,7473,9365,11741,No notes.,0.116006,2024-05-17 14:35:00
2024/05/17,14:35:30,0.1272,2834.0,0.083437,0.011181,0.0,0.0378,0,7485,9363,11743,No notes.,0.11601900000000001,2024-05-17 14:35:30
2024/05/17,14:36:00,0.127245,2834.0,0.094364,0.011309,0.0,0.0378,0,7461,9363,11742,No notes.,0.115936,2024-05-17 14:36:00
2024/05/17,14:36:30,0.12736,2834.0,0.086417,0.011437,0.0,0.0378,0,7482,9365,11742,No notes.,0.115923,2024-05-17 14:36:30
2024/05/17,14:37:00,0.127417,2834.0,0.08741,0.011563,0.0,0.0378,0,7475,9366,11742,No notes.,0.115854,2024-05-17 14:37:00
2024/05/17,14:37:30,0.127563,2834.0,0.088404,0.011689,0.0,0.0378,0,7474,9366,11741,No notes.,0.115874,2024-05-17 14:37:30
2024/05/17,14:38:00,0.127699,2834.0,0.089397,0.011815,0.0,0.0378,0,7471,9364,11742,No notes.,0.115884,2024-05-17 14:38:00
2024/05/17,14:38:30,0.12791,2834.0,0.085424,0.01194,0.0,0.0378,0,7485,9364,11742,No notes.,0.11596999999999999,2024-05-17 14:38:30
2024/05/17,14:39:00,0.128046,2834.0,0.08741,0.012064,0.0,0.0378,0,7478,9363,11742,No notes.,0.11598199999999999,2024-05-17 14:39:00
2024/05/17,14:39:30,0.128189,2834.0,0.09039,0.012187,0.0,0.0378,0,7476,9364,11741,No notes.,0.116002,2024-05-17 14:39:30
2024/05/17,14:40:00,0.12824,2834.0,0.08741,0.01231,0.0,0.0378,0,7478,9363,11742,No notes.,0.11592999999999999,2024-05-17 14:40:00
2024/05/17,14:40:30,0.128377,2834.0,0.089397,0.012432,0.0,0.0378,0,7478,9363,11742,No notes.,0.11594499999999999,2024-05-17 14:40:30
2024/05/17,14:41:00,0.128505,2834.0,0.086417,0.012553,0.0,0.0378,0,7481,9363,11741,No notes.,0.11595200000000001,2024-05-17 14:41:00
2024/05/17,14:41:30,0.128517,2834.0,0.088404,0.012674,0.0,0.0378,0,7474,9363,11742,No notes.,0.11584299999999999,2024-05-17 14:41:30
2024/05/17,14:42:00,0.128583,2834.0,0.085424,0.012794,0.0,0.0378,0,7485,9365,11744,No notes.,0.115789,2024-05-17 14:42:00
2024/05/17,14:42:30,0.128544,2834.0,0.08741,0.012913,0.0,0.0378,0,7478,9364,11742,No notes.,0.11563099999999998,2024-05-17 14:42:30
2024/05/17,14:43:00,0.128695,2834.0,0.075491,0.013032,0.0,0.0378,0,7502,9362,11742,No notes.,0.115663,2024-05-17 14:43:00
2024/05/17,14:43:30,0.128777,2834.0,0.098337,0.01315,0.0,0.0378,0,7460,9364,11741,No notes.,0.11562700000000001,2024-05-17 14:43:30
2024/05/17,14:44:00,0.128967,2834.0,0.089397,0.013267,0.0,0.0378,0,7475,9364,11742,No notes.,0.1157,2024-05-17 14:44:00
2024/05/17,14:44:30,0.128987,2834.0,0.085424,0.013384,0.0,0.0378,0,7487,9367,11742,No notes.,0.11560299999999998,2024-05-17 14:44:30
2024/05/17,14:45:00,0.129069,2834.0,0.078471,0.013499,0.0,0.0378,0,7497,9363,11743,No notes.,0.11556999999999999,2024-05-17 14:45:00
2024/05/17,14:45:30,0.129218,2834.0,0.094364,0.013615,0.0,0.0378,0,7469,9365,11743,No notes.,0.115603,2024-05-17 14:45:30
2024/05/17,14:46:00,0.129405,2834.0,0.091384,0.013729,0.0,0.0378,0,7472,9362,11742,No notes.,0.11567599999999999,2024-05-17 14:46:00
2024/05/17,14:46:30,0.12953,2834.0,0.09039,0.013843,0.0,0.0378,0,7474,9365,11742,No notes.,0.11568700000000001,2024-05-17 14:46:30
2024/05/17,14:47:00,0.12966,2834.0,0.08741,0.013956,0.0,0.0378,0,7482,9363,11742,No notes.,0.115704,2024-05-17 14:47:00
2024/05/17,14:47:30,0.129681,2834.0,0.091384,0.014068,0.0,0.0378,0,7472,9362,11742,No notes.,0.115613,2024-05-17 14:47:30
2024/05/17,14:48:00,0.129699,2834.0,0.091384,0.01418,0.0,0.0378,0,7473,9363,11744,No notes.,0.11551900000000001,2024-05-17 14:48:00
2024/05/17,14:48:30,0.129693,2834.0,0.097343,0.014291,0.0,0.0378,0,7464,9364,11743,No notes.,0.115402,2024-05-17 14:48:30
2024/05/17,14:49:00,0.129787,2834.0,0.09635,0.014401,0.0,0.0378,0,7466,9365,11743,No notes.,0.11538600000000002,2024-05-17 14:49:00
2024/05/17,14:49:30,0.129831,2834.0,0.094364,0.01451,0.0,0.0378,0,7467,9364,11743,No notes.,0.115321,2024-05-17 14:49:30
