Date,Time,ObsG,Dial,Feedback Correction,Earthtide,Level Correction,Temperature Correction,Temperature Frequency,Beam Frequency,Cross Level Frequency,Long Level Frequency,Note,G_corr,datetime
2024/05/24,14:13:30,-0.058896,2834.0,-0.103303,-0.174624,0.0,0.0378,0,7489,9412,11735,No notes.,0.115728,2024-05-24 14:13:30
2024/05/24,14:14:00,-0.058844,2834.0,-0.095357,-0.174473,0.0,0.0378,0,7470,9410,11734,No notes.,0.11562899999999998,2024-05-24 14:14:00
2024/05/24,14:14:30,-0.058673,2834.0,-0.098337,-0.174321,0.0,0.0378,0,7476,9409,11733,No notes.,0.115648,2024-05-24 14:14:30
2024/05/24,14:15:00,-0.05859,2834.0,-0.09635,-0.174167,0.0,0.0378,0,7475,9410,11734,No notes.,0.11557699999999999,2024-05-24 14:15:00
2024/05/24,14:15:30,-0.058756,2834.0,-0.09337,-0.174012,0.0,0.0378,0,7468,9412,11734,No notes.,0.115256,2024-05-24 14:15:30
2024/05/24,14:16:00,-0.058821,2834.0,-0.09933,-0.173854,0.0,0.0378,0,7479,9413,11735,No notes.,0.11503300000000001,2024-05-24 14:16:00
2024/05/24,14:16:30,-0.058749,2834.0,-0.09039,-0.173695,0.0,0.0378,0,7462,9405,11735,No notes.,0.11494599999999999,2024-05-24 14:16:30
2024/05/24,14:17:00,-0.058583,2834.0,-0.095357,-0.173533,0.0,0.0378,0,7472,9411,11734,No notes.,0.11495,2024-05-24 14:17:00
2024/05/24,14:17:30,-0.058408,2834.0,-0.094364,-0.17337,0.0,0.0378,0,7470,9414,11734,No notes.,0.114962,2024-05-24 14:17:30
2024/05/24,14:18:00,-0.058292,2834.0,-0.09337,-0.173206,0.0,0.0378,0,7465,9409,11734,No notes.,0.114914,2024-05-24 14:18:00
2024/05/24,14:18:30,-0.058184,2834.0,-0.09635,-0.173039,0.0,0.0378,0,7476,9414,11734,No notes.,0.114855,2024-05-24 14:18:30
2024/05/24,14:19:00,-0.057692,2834.0,-0.092377,-0.172871,0.0,0.0378,0,7465,9416,11735,No notes.,0.115179,2024-05-24 14:19:00
2024/05/24,14:19:30,-0.057318,2834.0,-0.09635,-0.172701,0.0,0.0378,0,7477,9411,11734,No notes.,0.11538299999999999,2024-05-24 14:19:30
2024/05/24,14:20:00,-0.057058,2834.0,-0.092377,-0.172529,0.0,0.0378,0,7470,9409,11732,No notes.,0.11547099999999999,2024-05-24 14:20:00
2024/05/24,14:20:30,-0.056872,2834.0,-0.09039,-0.172355,0.0,0.0378,0,7465,9408,11733,No notes.,0.115483,2024-05-24 14:20:30
2024/05/24,14:21:00,-0.05672,2834.0,-0.09337,-0.172179,0.0,0.0378,0,7473,9408,11733,No notes.,0.115459,2024-05-24 14:21:00
2024/05/24,14:21:30,-0.056805,2834.0,-0.095357,-0.172002,0.0,0.0378,0,7475,9413,11732,No notes.,0.115197,2024-05-24 14:21:30
2024/05/24,14:22:00,-0.056967,2834.0,-0.091384,-0.171823,0.0,0.0378,0,7467,9409,11734,No notes.,0.11485600000000001,2024-05-24 14:22:00
2024/05/24,14:22:30,-0.056716,2834.0,-0.095357,-0.171642,0.0,0.0378,0,7473,9409,11733,No notes.,0.11492599999999999,2024-05-24 14:22:30
2024/05/24,14:23:00,-0.056596,2834.0,-0.097343,-0.17146,0.0,0.0378,0,7477,9411,11734,No notes.,0.114864,2024-05-24 14:23:00
2024/05/24,14:23:30,-0.056403,2834.0,-0.094364,-0.171275,0.0,0.0378,0,7476,9415,11733,No notes.,0.114872,2024-05-24 14:23:30
2024/05/24,14:24:00,-0.056291,2834.0,-0.094364,-0.171089,0.0,0.0378,0,7474,9410,11733,No notes.,0.11479799999999998,2024-05-24 14:24:00
2024/05/24,14:24:30,-0.056178,2834.0,-0.094364,-0.170901,0.0,0.0378,0,7474,9410,11731,No notes.,0.11472299999999999,2024-05-24 14:24:30
2024/05/24,14:25:00,-0.055858,2834.0,-0.095357,-0.170712,0.0,0.0378,0,7477,9409,11732,No notes.,0.11485400000000001,2024-05-24 14:25:00
2024/05/24,14:25:30,-0.055638,2834.0,-0.09039,-0.17052,0.0,0.0378,0,7469,9411,11733,No notes.,0.11488200000000001,2024-05-24 14:25:30
2024/05/24,14:26:00,-0.055344,2834.0,-0.098337,-0.170327,0.0,0.0378,0,7483,9411,11734,No notes.,0.114983,2024-05-24 14:26:00
2024/05/24,14:26:30,-0.05528,2834.0,-0.09337,-0.170132,0.0,0.0378,0,7475,9410,11734,No notes.,0.11485200000000001,2024-05-24 14:26:30
2024/05/24,14:27:00,-0.055097,2834.0,-0.095357,-0.169935,0.0,0.0378,0,7479,9416,11733,No notes.,0.114838,2024-05-24 14:27:00
