Date,Time,ObsG,Dial,Feedback Correction,Earthtide,Level Correction,Temperature Correction,Temperature Frequency,Beam Frequency,Cross Level Frequency,Long Level Frequency,Note,G_corr,datetime
2024/06/27,12:39:30,0.131888,2834.0,0.09039,0.008223,0.0,0.0378,0,7480,9418,11825,No notes.,0.12366500000000001,2024-06-27 12:39:30
2024/06/27,12:40:00,0.131656,2834.0,0.094364,0.008005,0.0,0.0378,0,7472,9419,11824,No notes.,0.123651,2024-06-27 12:40:00
2024/06/27,12:40:30,0.131581,2834.0,0.094364,0.007787,0.0,0.0378,0,7471,9420,11825,No notes.,0.123794,2024-06-27 12:40:30
2024/06/27,12:41:00,0.131406,2834.0,0.094364,0.007569,0.0,0.0378,0,7472,9418,11825,No notes.,0.12383699999999999,2024-06-27 12:41:00
2024/06/27,12:41:30,0.131211,2834.0,0.080457,0.00735,0.0,0.0378,0,7500,9417,11825,No notes.,0.123861,2024-06-27 12:41:30
2024/06/27,12:42:00,0.13094,2834.0,0.098337,0.00713,0.0,0.0378,0,7463,9418,11826,No notes.,0.12381,2024-06-27 12:42:00
2024/06/27,12:42:30,0.130643,2834.0,0.091384,0.006909,0.0,0.0378,0,7475,9418,11827,No notes.,0.12373400000000001,2024-06-27 12:42:30
2024/06/27,12:43:00,0.130412,2834.0,0.089397,0.006687,0.0,0.0378,0,7478,9418,11825,No notes.,0.123725,2024-06-27 12:43:00
2024/06/27,12:43:30,0.130259,2834.0,0.09039,0.006465,0.0,0.0378,0,7477,9418,11825,No notes.,0.12379400000000002,2024-06-27 12:43:30
2024/06/27,12:44:00,0.13013,2834.0,0.092377,0.006243,0.0,0.0378,0,7472,9418,11825,No notes.,0.123887,2024-06-27 12:44:00
2024/06/27,12:44:30,0.12996,2834.0,0.088404,0.006019,0.0,0.0378,0,7478,9416,11826,No notes.,0.123941,2024-06-27 12:44:30
2024/06/27,12:45:00,0.129769,2834.0,0.089397,0.005795,0.0,0.0378,0,7477,9417,11826,No notes.,0.123974,2024-06-27 12:45:00
2024/06/27,12:45:30,0.129622,2834.0,0.09039,0.00557,0.0,0.0378,0,7473,9418,11827,No notes.,0.12405199999999998,2024-06-27 12:45:30
2024/06/27,12:46:00,0.129393,2834.0,0.097343,0.005345,0.0,0.0378,0,7463,9420,11824,No notes.,0.124048,2024-06-27 12:46:00
2024/06/27,12:46:30,0.129349,2834.0,0.088404,0.005119,0.0,0.0378,0,7480,9418,11823,No notes.,0.12423,2024-06-27 12:46:30
2024/06/27,12:47:00,0.129151,2834.0,0.091384,0.004892,0.0,0.0378,0,7472,9418,11824,No notes.,0.124259,2024-06-27 12:47:00
2024/06/27,12:47:30,0.128935,2834.0,0.09933,0.004664,0.0,0.0378,0,7456,9417,11825,No notes.,0.12427099999999999,2024-06-27 12:47:30
2024/06/27,12:48:00,0.128758,2834.0,0.085424,0.004436,0.0,0.0378,0,7486,9417,11825,No notes.,0.12432200000000002,2024-06-27 12:48:00
2024/06/27,12:48:30,0.128676,2834.0,0.09039,0.004208,0.0,0.0378,0,7475,9418,11827,No notes.,0.12446800000000001,2024-06-27 12:48:30
2024/06/27,12:49:00,0.128505,2834.0,0.088404,0.003978,0.0,0.0378,0,7476,9419,11826,No notes.,0.12452700000000001,2024-06-27 12:49:00
2024/06/27,12:49:30,0.12827,2834.0,0.091384,0.003748,0.0,0.0378,0,7472,9418,11824,No notes.,0.124522,2024-06-27 12:49:30
2024/06/27,12:50:00,0.128153,2834.0,0.095357,0.003518,0.0,0.0378,0,7464,9417,11824,No notes.,0.124635,2024-06-27 12:50:00
2024/06/27,12:50:30,0.128274,2834.0,0.08741,0.003286,0.0,0.0378,0,7477,9417,11824,No notes.,0.124988,2024-06-27 12:50:30
2024/06/27,12:51:00,0.128023,2834.0,0.095357,0.003054,0.0,0.0378,0,7463,9418,11825,No notes.,0.124969,2024-06-27 12:51:00
2024/06/27,12:51:30,0.127817,2834.0,0.088404,0.002822,0.0,0.0378,0,7476,9418,11826,No notes.,0.12499499999999998,2024-06-27 12:51:30
2024/06/27,12:52:00,0.127595,2834.0,0.092377,0.002589,0.0,0.0378,0,7467,9418,11826,No notes.,0.12500599999999998,2024-06-27 12:52:00
2024/06/27,12:52:30,0.127376,2834.0,0.097343,0.002355,0.0,0.0378,0,7455,9418,11825,No notes.,0.125021,2024-06-27 12:52:30
2024/06/27,12:53:00,0.127223,2834.0,0.091384,0.00212,0.0,0.0378,0,7468,9417,11826,No notes.,0.125103,2024-06-27 12:53:00
2024/06/27,12:53:30,0.126943,2834.0,0.09337,0.001885,0.0,0.0378,0,7463,9418,11826,No notes.,0.125058,2024-06-27 12:53:30
2024/06/27,12:54:00,0.12671,2834.0,0.082444,0.00165,0.0,0.0378,0,7487,9417,11824,No notes.,0.12505999999999998,2024-06-27 12:54:00
2024/06/27,12:54:30,0.126429,2834.0,0.084431,0.001413,0.0,0.0378,0,7483,9419,11826,No notes.,0.12501600000000002,2024-06-27 12:54:30
2024/06/27,12:55:00,0.126353,2834.0,0.088404,0.001177,0.0,0.0378,0,7472,9421,11825,No notes.,0.12517599999999998,2024-06-27 12:55:00
2024/06/27,12:55:30,0.12619,2834.0,0.082444,0.000939,0.0,0.0378,0,7483,9418,11824,No notes.,0.125251,2024-06-27 12:55:30
2024/06/27,12:56:00,0.125993,2834.0,0.086417,0.000701,0.0,0.0378,0,7477,9418,11824,No notes.,0.125292,2024-06-27 12:56:00
2024/06/27,12:56:30,0.125812,2834.0,0.089397,0.000462,0.0,0.0378,0,7470,9417,11825,No notes.,0.12535000000000002,2024-06-27 12:56:30
2024/06/27,12:57:00,0.125586,2834.0,0.086417,0.000223,0.0,0.0378,0,7479,9416,11824,No notes.,0.125363,2024-06-27 12:57:00
2024/06/27,12:57:30,0.125409,2834.0,0.092377,-1.7e-05,0.0,0.0378,0,7462,9418,11824,No notes.,0.12542599999999998,2024-06-27 12:57:30
2024/06/27,12:58:00,0.125193,2834.0,0.086417,-0.000257,0.0,0.0378,0,7475,9417,11826,No notes.,0.12545,2024-06-27 12:58:00
