Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note,Gravity_Total
3RDB,pablo,B-28,2024/04/02,09:04:51,2495.069767,0,-0.017,-0.029,0,0.038,0.001,0,2224.2171,28.23467194,-16.6298307,67,0.0057,0,No notes.,2495.069767
3RDB,pablo,B-28,2024/04/02,09:05:08,2495.062769,0,-0.024,-0.029,0,0.038,-0.0012,0,2224.2171,28.23467194,-16.6298307,84,0.0079,0,No notes.,2495.062769
3RDB,pablo,B-28,2024/04/02,09:06:31,2495.063779,0,-0.024,-0.029,0,0.038,0.0001,0,2224.2171,28.23467194,-16.6298307,167,0.0077,0,No notes.,2495.063779
3RDB,pablo,B-28,2024/04/02,09:07:11,2495.064783,0,-0.022,-0.029,0,0.038,0.0007,0,2224.2171,28.23467194,-16.6298307,207,0.0044,0,No notes.,2495.064783
3RDB,pablo,B-28,2024/04/02,09:07:30,2495.062786,0,-0.024,-0.029,0,0.038,-0.0002,0,2224.2171,28.23467194,-16.6298307,226,0.0052,0,No notes.,2495.062786
3RDB,pablo,B-28,2024/04/02,09:07:47,2495.063788,0,-0.023,-0.029,0,0.038,-0.0001,0,2224.2171,28.23467194,-16.6298307,243,0.0041,0,No notes.,2495.063788
3RDB,pablo,B-28,2024/04/02,09:08:15,2495.063791,0,-0.023,-0.029,0,0.038,0.0001,0,2224.2171,28.23467194,-16.6298307,271,0.0046,0,No notes.,2495.063791
3RDB,pablo,B-28,2024/04/02,09:08:38,2495.061794,0,-0.025,-0.029,0,0.038,-0.0007,0,2224.2171,28.23467194,-16.6298307,294,0.0048,0,No notes.,2495.061794
3RDB,pablo,B-28,2024/04/02,09:09:13,2495.062798,0,-0.024,-0.029,0,0.038,-0.0001,0,2224.2171,28.23467194,-16.6298307,329,0.0035,0,No notes.,2495.062798
LM001,pablo,B-28,2024/04/02,11:54:05,2462.054207,0,-0.04,-0.028,0,0.038,0.0006,0,2334.4456,28.29209641,-16.53970616,69,0.009,0,No notes.,2462.054207
LM001,pablo,B-28,2024/04/02,11:54:40,2462.055211,0,-0.039,-0.028,0,0.038,0.0008,0,2334.4456,28.29209641,-16.53970616,104,0.0056,0,No notes.,2462.055211
