Station ID;Observer ID;Serial Number;Date;Time;ObsG;Dial;Feedback Correction;Earthtide Correction;Level Correction;Temperature Correction;Beam Error;Height;Elevation;Latitude;Longitude;Elapsed Time;Standard Deviation;Temperature Frequency;Note;Gradient;datetime;period;Drift_Estimated;G_final_corrected
3RDB;pablo;B-28;2024/04/02;09:04:51;-0,008;2495;-0,017;-0,029;0;0,038;0,001;25,2;2224,2171;28,23467194;-16,6298307;67;0,0057;0;No notes.;3,086;2024-04-02 09:04:51;april;0,0;-0,008
3RDB;pablo;B-28;2024/04/02;09:05:08;-0,015;2495;-0,024;-0,029;0;0,038;-0,0012;25,2;2224,2171;28,23467194;-16,6298307;84;0,0079;0;No notes.;3,086;2024-04-02 09:05:08;april;-2,0029006059241183e-06;-0,014997997099394075
3RDB;pablo;B-28;2024/04/02;09:06:31;-0,014;2495;-0,024;-0,029;0;0,038;0,0001;25,2;2224,2171;28,23467194;-16,6298307;167;0,0077;0;No notes.;3,086;2024-04-02 09:06:31;april;-1,1781598557969453e-05;-0,01398821840144203
3RDB;pablo;B-28;2024/04/02;09:07:11;-0,013;2495;-0,022;-0,029;0;0,038;0,0007;25,2;2224,2171;28,23467194;-16,6298307;207;0,0044;0;No notes.;3,086;2024-04-02 09:07:11;april;-1,6494123476706868e-05;-0,012983505876523293
3RDB;pablo;B-28;2024/04/02;09:07:30;-0,015;2495;-0,024;-0,029;0;0,038;-0,0002;25,2;2224,2171;28,23467194;-16,6298307;226;0,0052;0;No notes.;3,086;2024-04-02 09:07:30;april;-1,8732549891709027e-05;-0,01498126745010829
3RDB;pablo;B-28;2024/04/02;09:07:47;-0,014;2495;-0,023;-0,029;0;0,038;-0,0001;25,2;2224,2171;28,23467194;-16,6298307;243;0,0041;0;No notes.;3,086;2024-04-02 09:07:47;april;-2,0735339959943033e-05;-0,013979264660040057
3RDB;pablo;B-28;2024/04/02;09:08:15;-0,014;2495;-0,023;-0,029;0;0,038;0,0001;25,2;2224,2171;28,23467194;-16,6298307;271;0,0046;0;No notes.;3,086;2024-04-02 09:08:15;april;-2,4034027249819623e-05;-0,01397596597275018
3RDB;pablo;B-28;2024/04/02;09:08:38;-0,016;2495;-0,025;-0,029;0;0,038;-0,0007;25,2;2224,2171;28,23467194;-16,6298307;294;0,0048;0;No notes.;3,086;2024-04-02 09:08:38;april;-2,67436392533682e-05;-0,015973256360746632
3RDB;pablo;B-28;2024/04/02;09:09:13;-0,015;2495;-0,024;-0,029;0;0,038;-0,0001;25,2;2224,2171;28,23467194;-16,6298307;329;0,0035;0;No notes.;3,086;2024-04-02 09:09:13;april;-3,0866920359695627e-05;-0,014969133079640304
LM001;pablo;B-28;2024/04/02;11:54:05;-0,03;2462;-0,04;-0,028;0;0,038;0,0006;26,9;2334,4456;28,29209641;-16,53970616;69;0,009;0;No notes.;3,086;2024-04-02 11:54:05;april;-0,0011942160941533775;-0,02880578390584662
LM001;pablo;B-28;2024/04/02;11:54:40;-0,029;2462;-0,039;-0,028;0;0,038;0,0008;26,9;2334,4456;28,29209641;-16,53970616;104;0,0056;0;No notes.;3,086;2024-04-02 11:54:40;april;-0,0011983251666829453;-0,027801674833317056
LM001;pablo;B-28;2024/04/02;11:55:46;-0,031;2462;-0,041;-0,028;0;0,038;-0,0005;26,9;2334,4456;28,29209641;-16,53970616;170;0,0068;0;No notes.;3,086;2024-04-02 11:55:46;april;-0,0012060735671517442;-0,029793926432848256
LM001;pablo;B-28;2024/04/02;11:56:04;-0,039;2462;-0,049;-0,028;0;0,038;0,0002;26,9;2334,4456;28,29209641;-16,53970616;188;0,0087;0;No notes.;3,086;2024-04-02 11:56:04;april;-0,0012081867363633592;-0,03779181326363664
LM001;pablo;B-28;2024/04/02;11:56:32;-0,038;2462;-0,047;-0,028;0;0,038;0,0002;26,9;2334,4456;28,29209641;-16,53970616;216;0,0121;0;No notes.;3,086;2024-04-02 11:56:32;april;-0,0012114738621343824;-0,03678852613786562
LM001;pablo;B-28;2024/04/02;11:56:49;-0,044;2462;-0,054;-0,028;0;0,038;-0,0006;26,9;2334,4456;28,29209641;-16,53970616;233;0,0103;0;No notes.;3,086;2024-04-02 11:56:49;april;-0,0012134696014246549;-0,04278653039857534
LM001;pablo;B-28;2024/04/02;11:57:08;-0,046;2462;-0,055;-0,028;0;0,038;-0,0002;26,9;2334,4456;28,29209641;-16,53970616;252;0,0076;0;No notes.;3,086;2024-04-02 11:57:08;april;-0,0012157001195866046;-0,044784299880413395
