Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note,Gradient
3RDB,pablo,B-28,2024/04/02,09:04:51,-0.008,2495,-0.017,-0.029,0,0.038,0.001,25.2,2224.2171,28.23467194,-16.6298307,67,0.0057,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:05:08,-0.014998,2495,-0.024,-0.029,0,0.038,-0.0012,25.2,2224.2171,28.23467194,-16.6298307,84,0.0079,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:06:31,-0.013988,2495,-0.024,-0.029,0,0.038,0.0001,25.2,2224.2171,28.23467194,-16.6298307,167,0.0077,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:07:11,-0.012984,2495,-0.022,-0.029,0,0.038,0.0007,25.2,2224.2171,28.23467194,-16.6298307,207,0.0044,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:07:30,-0.014981,2495,-0.024,-0.029,0,0.038,-0.0002,25.2,2224.2171,28.23467194,-16.6298307,226,0.0052,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:07:47,-0.013979,2495,-0.023,-0.029,0,0.038,-0.0001,25.2,2224.2171,28.23467194,-16.6298307,243,0.0041,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:08:15,-0.013976,2495,-0.023,-0.029,0,0.038,0.0001,25.2,2224.2171,28.23467194,-16.6298307,271,0.0046,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:08:38,-0.015973,2495,-0.025,-0.029,0,0.038,-0.0007,25.2,2224.2171,28.23467194,-16.6298307,294,0.0048,0,No notes.,3.086
3RDB,pablo,B-28,2024/04/02,09:09:13,-0.014969,2495,-0.024,-0.029,0,0.038,-0.0001,25.2,2224.2171,28.23467194,-16.6298307,329,0.0035,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:54:05,-0.028806,2462,-0.04,-0.028,0,0.038,0.0006,26.9,2334.4456,28.29209641,-16.53970616,69,0.009,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:54:40,-0.027802,2462,-0.039,-0.028,0,0.038,0.0008,26.9,2334.4456,28.29209641,-16.53970616,104,0.0056,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:55:46,-0.029794,2462,-0.041,-0.028,0,0.038,-0.0005,26.9,2334.4456,28.29209641,-16.53970616,170,0.0068,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:56:04,-0.037792,2462,-0.049,-0.028,0,0.038,0.0002,26.9,2334.4456,28.29209641,-16.53970616,188,0.0087,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:56:32,-0.036789,2462,-0.047,-0.028,0,0.038,0.0002,26.9,2334.4456,28.29209641,-16.53970616,216,0.0121,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:56:49,-0.042787,2462,-0.054,-0.028,0,0.038,-0.0006,26.9,2334.4456,28.29209641,-16.53970616,233,0.0103,0,No notes.,3.086
LM001,pablo,B-28,2024/04/02,11:57:08,-0.044784,2462,-0.055,-0.028,0,0.038,-0.0002,26.9,2334.4456,28.29209641,-16.53970616,252,0.0076,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:41:18,-0.083473,2459,-0.098,-0.025,0,0.038,0.0004,27.6,2349.5782,28.28821323,-16.53995801,75,0.0043,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:41:53,-0.090469,2459,-0.104,-0.025,0,0.038,-0.0012,27.6,2349.5782,28.28821323,-16.53995801,110,0.0032,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:42:14,-0.104467,2459,-0.118,-0.025,0,0.038,-0.0016,27.6,2349.5782,28.28821323,-16.53995801,131,0.0044,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:42:34,-0.111464,2459,-0.125,-0.025,0,0.038,-0.001,27.6,2349.5782,28.28821323,-16.53995801,151,0.0042,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:42:52,-0.116462,2459,-0.131,-0.025,0,0.038,-0.0009,27.6,2349.5782,28.28821323,-16.53995801,169,0.0053,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:43:12,-0.11646,2459,-0.13,-0.025,0,0.038,-0.0002,27.6,2349.5782,28.28821323,-16.53995801,189,0.0079,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:43:29,-0.120458,2459,-0.135,-0.025,0,0.038,0.0003,27.6,2349.5782,28.28821323,-16.53995801,206,0.0025,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:43:48,-0.125456,2459,-0.14,-0.025,0,0.038,-0.0013,27.6,2349.5782,28.28821323,-16.53995801,225,0.0058,0,No notes.,3.086
LM002,pablo,B-28,2024/04/02,12:44:20,-0.127452,2459,-0.142,-0.025,0,0.038,-0.0004,27.6,2349.5782,28.28821323,-16.53995801,257,0.0064,0,No notes.,3.086
LM003,pablo,B-28,2024/04/02,13:33:23,-0.145107,2462,-0.167,-0.018,0,0.038,0.0015,27.3,2336.9749,28.28938782,-16.54212119,66,0.0039,0,No notes.,3.086
LM003,pablo,B-28,2024/04/02,13:33:41,-0.143105,2462,-0.165,-0.018,0,0.038,-0.0004,27.3,2336.9749,28.28938782,-16.54212119,84,0.0046,0,No notes.,3.086
LM003,pablo,B-28,2024/04/02,13:34:04,-0.144102,2462,-0.166,-0.018,0,0.038,-0.0005,27.3,2336.9749,28.28938782,-16.54212119,107,0.0044,0,No notes.,3.086
LM003,pablo,B-28,2024/04/02,13:34:21,-0.1421,2462,-0.164,-0.018,0,0.038,0.0009,27.3,2336.9749,28.28938782,-16.54212119,124,0.008,0,No notes.,3.086
LM003,pablo,B-28,2024/04/02,13:34:53,-0.139096,2462,-0.161,-0.018,0,0.038,-0.001,27.3,2336.9749,28.28938782,-16.54212119,156,0.0059,0,No notes.,3.086
LM003,pablo,B-28,2024/04/02,13:35:24,-0.139093,2462,-0.161,-0.018,0,0.038,0.0003,27.3,2336.9749,28.28938782,-16.54212119,187,0.0055,0,No notes.,3.086
