Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note
3RDB,pablo,B-28,2024/04/02,09:04:51,0.069767,2495,-0.017,-0.029,0,0.038,0.001,0,2224.2171,28.23467194,-16.6298307,67,0.0057,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:05:08,0.062769,2495,-0.024,-0.029,0,0.038,-0.0012,0,2224.2171,28.23467194,-16.6298307,84,0.0079,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:06:31,0.063779,2495,-0.024,-0.029,0,0.038,0.0001,0,2224.2171,28.23467194,-16.6298307,167,0.0077,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:07:11,0.064783,2495,-0.022,-0.029,0,0.038,0.0007,0,2224.2171,28.23467194,-16.6298307,207,0.0044,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:07:30,0.062786,2495,-0.024,-0.029,0,0.038,-0.0002,0,2224.2171,28.23467194,-16.6298307,226,0.0052,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:07:47,0.063788,2495,-0.023,-0.029,0,0.038,-0.0001,0,2224.2171,28.23467194,-16.6298307,243,0.0041,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:08:15,0.063791,2495,-0.023,-0.029,0,0.038,0.0001,0,2224.2171,28.23467194,-16.6298307,271,0.0046,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:08:38,0.061794,2495,-0.025,-0.029,0,0.038,-0.0007,0,2224.2171,28.23467194,-16.6298307,294,0.0048,0,No notes.
3RDB,pablo,B-28,2024/04/02,09:09:13,0.062798,2495,-0.024,-0.029,0,0.038,-0.0001,0,2224.2171,28.23467194,-16.6298307,329,0.0035,0,No notes.
LM001,pablo,B-28,2024/04/02,11:54:05,0.054207,2462,-0.04,-0.028,0,0.038,0.0006,0,2334.4456,28.29209641,-16.53970616,69,0.009,0,No notes.
LM001,pablo,B-28,2024/04/02,11:54:40,0.055211,2462,-0.039,-0.028,0,0.038,0.0008,0,2334.4456,28.29209641,-16.53970616,104,0.0056,0,No notes.
LM001,pablo,B-28,2024/04/02,11:55:46,0.053219,2462,-0.041,-0.028,0,0.038,-0.0005,0,2334.4456,28.29209641,-16.53970616,170,0.0068,0,No notes.
LM001,pablo,B-28,2024/04/02,11:56:04,0.045221,2462,-0.049,-0.028,0,0.038,0.0002,0,2334.4456,28.29209641,-16.53970616,188,0.0087,0,No notes.
LM001,pablo,B-28,2024/04/02,11:56:32,0.046224,2462,-0.047,-0.028,0,0.038,0.0002,0,2334.4456,28.29209641,-16.53970616,216,0.0121,0,No notes.
LM001,pablo,B-28,2024/04/02,11:56:49,0.040226,2462,-0.054,-0.028,0,0.038,-0.0006,0,2334.4456,28.29209641,-16.53970616,233,0.0103,0,No notes.
LM001,pablo,B-28,2024/04/02,11:57:08,0.038229,2462,-0.055,-0.028,0,0.038,-0.0002,0,2334.4456,28.29209641,-16.53970616,252,0.0076,0,No notes.
LM002,pablo,B-28,2024/04/02,12:41:18,0.001701,2459,-0.098,-0.025,0,0.038,0.0004,0,2349.5782,28.28821323,-16.53995801,75,0.0043,0,No notes.
LM002,pablo,B-28,2024/04/02,12:41:53,-0.005295,2459,-0.104,-0.025,0,0.038,-0.0012,0,2349.5782,28.28821323,-16.53995801,110,0.0032,0,No notes.
LM002,pablo,B-28,2024/04/02,12:42:14,-0.019293,2459,-0.118,-0.025,0,0.038,-0.0016,0,2349.5782,28.28821323,-16.53995801,131,0.0044,0,No notes.
LM002,pablo,B-28,2024/04/02,12:42:34,-0.02629,2459,-0.125,-0.025,0,0.038,-0.001,0,2349.5782,28.28821323,-16.53995801,151,0.0042,0,No notes.
LM002,pablo,B-28,2024/04/02,12:42:52,-0.031288,2459,-0.131,-0.025,0,0.038,-0.0009,0,2349.5782,28.28821323,-16.53995801,169,0.0053,0,No notes.
LM002,pablo,B-28,2024/04/02,12:43:12,-0.031286,2459,-0.13,-0.025,0,0.038,-0.0002,0,2349.5782,28.28821323,-16.53995801,189,0.0079,0,No notes.
LM002,pablo,B-28,2024/04/02,12:43:29,-0.035284,2459,-0.135,-0.025,0,0.038,0.0003,0,2349.5782,28.28821323,-16.53995801,206,0.0025,0,No notes.
LM002,pablo,B-28,2024/04/02,12:43:48,-0.040282,2459,-0.14,-0.025,0,0.038,-0.0013,0,2349.5782,28.28821323,-16.53995801,225,0.0058,0,No notes.
LM002,pablo,B-28,2024/04/02,12:44:20,-0.042278,2459,-0.142,-0.025,0,0.038,-0.0004,0,2349.5782,28.28821323,-16.53995801,257,0.0064,0,No notes.
LM003,pablo,B-28,2024/04/02,13:33:23,-0.060859,2462,-0.167,-0.018,0,0.038,0.0015,0,2336.9749,28.28938782,-16.54212119,66,0.0039,0,No notes.
LM003,pablo,B-28,2024/04/02,13:33:41,-0.058857,2462,-0.165,-0.018,0,0.038,-0.0004,0,2336.9749,28.28938782,-16.54212119,84,0.0046,0,No notes.
LM003,pablo,B-28,2024/04/02,13:34:04,-0.059854,2462,-0.166,-0.018,0,0.038,-0.0005,0,2336.9749,28.28938782,-16.54212119,107,0.0044,0,No notes.
LM003,pablo,B-28,2024/04/02,13:34:21,-0.057852,2462,-0.164,-0.018,0,0.038,0.0009,0,2336.9749,28.28938782,-16.54212119,124,0.008,0,No notes.
