,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
0,0,TENE001,329524.64,3128255.1,-16.738,28.2693,1711.7,979059.534,242.765,0.005,1759.4394240200809,978648.9411868603,410.59281313966494,149.65690466080596,260.935908478859
1,1,TENE002,330676.61,3127981.48,-16.7263,28.2669,1870.3,979023.973,242.308,0.005,1918.1580989837648,978599.8092641103,424.1637358897133,163.09368591763044,261.07004997208287
2,2,TENE003,331188.37,3127949.8,-16.721,28.2667,1928.2,979013.747,244.749,0.005,1976.1034587860108,978581.923926793,431.8230732069351,168.0851864728449,263.7378867340902
3,3,TENE004,332315.25,3127840.72,-16.7095,28.2659,2072.7,978984.42,247.465,0.005,2120.6968191070555,978537.2733862649,447.14661373512354,179.91066337753355,267.23595035759
4,4,TENE005,332188.19,3127598.7,-16.7108,28.2637,2070.0,978983.94,246.618,0.005,2117.989319084168,978537.9425780418,445.9974219581345,179.739988237881,266.2574337202535
5,5,TENE006,331150.6,3127708.73,-16.7214,28.2645,1923.7,979014.631,244.906,0.006,1971.6021004426573,978583.146391173,431.4846088270424,167.46063217339423,264.02397665364816
6,6,TENE007,331565.88,3126617.81,-16.717,28.2548,1933.8,979015.21,248.528,0.005,1981.751154158325,978579.2858574382,435.9241425617365,168.3197361853529,267.6044063763836
7,7,TENE008,329241.47,3129032.78,-16.741,28.2762,1675.7,979064.772,239.527,0.009,1723.382421791687,978660.5820606992,404.1899393007625,146.73659008611807,257.4533492146444
8,8,TENE009,328271.35,3129185.32,-16.7509,28.2775,1623.9,979073.629,238.086,0.009,1671.4779413841247,978676.6891638666,396.93983613338787,141.0142108605123,255.92562527287558
9,9,TENE010,329316.44,3127150.9,-16.74,28.2593,1656.4,979073.548,246.071,0.009,1704.1262314117432,978665.2481445459,408.29985545400996,144.12554538052606,264.17431007348387
10,10,TENE011,330290.01,3129078.68,-16.7303,28.2768,1787.9,979043.098,242.091,0.009,1835.682919311524,978625.9912265283,417.1067734716926,156.40968048125805,260.6970929904345
11,11,TENE012,327194.82,3130046.61,-16.762,28.2851,1463.0,979112.706,240.649,0.009,1510.4367015649414,978726.9350841147,385.7709158853395,128.13101831904132,257.63989756629815
