,Unnamed: 0,Station Name,latitude,longitude,height,obsG,SD,Survey Date,gamma,G_disturbance,terrain_effect,topo_free_disturbance
0,0,3RDB,28.23467194,-16.6298307,2224.2171,978962.53795,0.05872,2024/04/02,978502.9995596153,459.53839038475417,192.8292514301638,266.70913895459034
1,1,CAMI1,28.33027952,-16.5320114,1627.8385,979083.69335,0.09173,2024/07/31,978694.1288016707,389.5645483293338,135.09968019323904,254.46486813609474
2,2,CAMI2,28.33115231,-16.52385337,1717.3973,979063.95534,0.0957099999999999,2024/07/31,978666.5713065311,397.3840334689012,142.80877766409412,254.57525580480706
3,3,CAMI3,28.33688079,-16.50579751,1818.4715,979038.40619,0.0968499999999999,2024/07/31,978635.8297924381,402.57639756193385,148.6478523692795,253.92854519265435
4,4,CAMI4,28.32786663,-16.5105177,1957.0007,979010.78208,0.0969899999999999,2024/07/31,978592.426336973,418.35574302705936,162.2427351605588,256.11300786650054
5,5,CAMI5,28.3197011,-16.51381376,2011.3112,978997.89613,0.09705,2024/07/31,978575.061405977,422.83472402300686,168.38378486064047,254.45093916236638
6,6,CAMI6,28.32061618,-16.5023996,2121.0476,978969.30895,0.09501,2024/07/31,978541.2898036622,428.01914633787237,176.15008810765536,251.869058230217
7,7,CAMI7,28.307786,-16.51819795,2302.5062,978924.97223,0.0952099999999999,2024/07/31,978484.3676014631,440.60462853696663,190.35391124873743,250.2507172882292
8,8,CAMI8,28.28732827,-16.51274691,2233.0811,978949.57127,0.08309,2024/07/31,978504.232658528,445.3386114719324,188.34315888674257,256.9954525851898
9,9,CAMI9,28.297288,-16.5113629,2379.405,978907.20095,0.07916,2024/07/31,978459.8649848615,447.3359651386272,196.146098811999,251.18986632662822
10,10,CARA,28.30684047,-16.53620543,2263.927,978939.94443,0.06045,2024/07/31,978496.1921845765,443.752245423384,190.02495435382448,253.72729106955953
11,11,CHIP,28.37399983,-16.46387039,1946.8109,978989.12439,0.00933,2024/04/02,978599.0510235709,390.07336642907467,146.33852971401973,243.73483671505494
12,12,FA00,28.28097303,-16.51485468,2222.5816,978952.5018,0.16103,2024/05/03,978506.991290525,445.5105094750179,187.4969391035754,258.0135703714425
13,13,FA01,28.28096989,-16.51502158,2222.7936,978952.7187,0.1508,2024/05/03,978506.9256818664,445.79301813372876,187.47047965021935,258.32253848350945
14,14,FA02,28.28106794,-16.51519414,2223.4224,978952.72639,0.13984,2024/05/03,978506.7391751463,445.98721485363785,187.55238064635876,258.4348342072791
15,15,FA03,28.28112094,-16.51530849,2223.8848,978952.71084,0.12794,2024/05/03,978506.600584347,446.1102556530386,187.64303998652605,258.4672156665126
16,16,FA04,28.28119048,-16.51546059,2225.1617,978952.68406,0.1148199999999999,2024/05/03,978506.2120821978,446.4719778022263,187.8180148560717,258.6539629461546
17,17,FA05,28.28120412,-16.51555056,2225.3112,978952.64519,0.09999,2024/05/03,978506.1670105811,446.47817941894755,187.86315451215592,258.61502490679163
18,18,FA06,28.28124865,-16.51566558,2225.4316,978952.62746,0.08254,2024/05/03,978506.1332400785,446.4942199215293,187.86939543248488,258.6248244890444
19,19,FA07,28.28139301,-16.51597592,2226.5355,978952.72387,0.0602,2024/05/03,978505.8037227163,446.9201472837012,188.1025768340549,258.8175704496463
20,20,FA08,28.28183549,-16.51678611,2234.1424,978950.94994,0.06019,2024/05/09,978503.4914243248,447.4585156752728,188.7641380081332,258.69437766713963
21,21,FA09,28.27277251,-16.51624688,2197.4417,978953.28636,0.07489,2024/05/09,978514.1255038406,439.1608561594039,184.4777852224956,254.6830709369083
22,22,FA10,28.25952427,-16.51998889,2080.8778,978974.96615,0.08664,2024/05/09,978549.0723602937,425.89378970628604,173.87518518558366,252.01860452070238
23,23,FA11,28.27622511,-16.50894146,2146.0544,978961.21094,0.08813,2024/05/09,978530.2317514159,430.9791885841405,178.7792629428006,252.1999256413399
24,24,FA12,28.26863323,-16.49589557,1782.4822,979036.07685,0.10276,2024/05/09,978641.7840051415,394.2928448586026,145.87760755427922,248.4152373043234
