,Unnamed: 0,latitude,longitude,Easting,Northing,Elevation,Gravity,Param_5,Param_6,Relative_Error,Flag,Gravity_mGal,topo_free_disturbance,height_ell,Station ID
0,0,28.23450226,-16.6298224,340088,3124256,2175.71,35997,20,6100,2.2,0,35.997,50.89007953033529,2223.97,GRA_0
1,1,28.22914896,-16.62919078,340142,3123662,2156.86,37454,20,5870,2.2,0,37.454,52.336786223674416,2205.087,GRA_1
2,2,28.224046,-16.62875665,340177,3123096,2143.85,39611,20,5912,2.2,0,39.611,54.48295229553397,2192.042,GRA_2
3,3,28.22068964,-16.62792113,340254,3122723,2121.4,41007,20,5990,2.2,0,41.007,55.87151877230683,2169.568,GRA_3
4,4,28.217326,-16.62617875,340420,3122348,2102.92,41329,20,6605,2.2,0,41.329,56.18551053666663,2151.062,GRA_4
5,5,28.21326039,-16.62806314,340229,3121900,2068.74,41159,20,7015,2.2,0,41.159,56.0046717540649,2116.847,GRA_5
6,6,28.21149744,-16.63361957,339681,3121712,2024.79,43137,20,6357,2.2,0,43.137,57.98082817502488,2072.891,GRA_6
7,7,28.21110279,-16.63718964,339330,3121673,2010.57,43578,20,6049,2.2,0,43.578,58.42132017720924,2058.669,GRA_7
8,8,28.21009455,-16.64149402,338906,3121567,2012.6,43793,20,5977,2.2,0,43.793,58.63413037782159,2060.692,GRA_8
9,9,28.2097148,-16.64530874,338531,3121530,2011.59,44071,20,5920,2.2,0,44.071,58.91171183117882,2059.68,GRA_9
10,10,28.21119589,-16.65420536,337660,3121706,2024.59,44707,20,5980,2.2,0,44.707,59.550109286187336,2072.688,GRA_10
11,11,28.21193814,-16.6592396,337167,3121795,2034.16,45660,20,6286,2.2,0,45.66,60.50180934190341,2082.254,GRA_11
12,12,28.2139473,-16.66323396,336778,3122023,2030.97,46613,20,6279,2.2,0,46.613,61.45771759427036,2079.073,GRA_12
13,13,28.21510597,-16.66665488,336444,3122156,2024.53,47790,20,6365,2.2,0,47.79,62.63550547290824,2072.636,GRA_13
14,14,28.21546162,-16.67153053,335966,3122202,2032.71,49217,20,6136,2.2,0,49.217,64.05718061666155,2080.799,GRA_14
15,15,28.24293663,-16.63015445,340068,3125191,2213.09,32645,20,7093,2.2,0,32.645,47.5478664679351,2261.382,GRA_15
16,16,28.24910649,-16.62739457,340348,3125871,2278.19,29833,20,8011,2.2,0,29.833,44.742400431440586,2326.503,GRA_16
17,17,28.25359371,-16.62496561,340593,3126365,2294.48,29270,20,9180,2.2,0,29.27,44.17967080374739,2342.794,GRA_17
18,18,28.25509198,-16.62115597,340969,3126526,2312.06,27981,20,8589,2.2,0,27.981,42.890042650041984,2360.372,GRA_18
19,19,28.2573482,-16.61811193,341271,3126772,2318.53,26981,20,9014,2.2,0,26.981,41.88961489861764,2366.84,GRA_19
20,20,28.25781327,-16.61083115,341986,3126814,2357.75,27092,20,8170,2.2,0,27.092,41.99607590346332,2406.046,GRA_20
21,21,28.25951294,-16.60751344,342314,3126998,2360.3,27457,20,7897,2.2,0,27.457,42.3589260796758,2408.589,GRA_21
22,22,28.25955313,-16.60332475,342725,3126997,2349.01,28027,20,7610,2.2,0,28.027,42.92594554743153,2397.289,GRA_22
23,23,28.26382134,-16.59102411,343938,3127454,2301.73,30213,20,6890,2.2,0,30.213,45.10256048142061,2349.979,GRA_23
24,24,28.26705428,-16.58697428,344340,3127807,2288.73,30419,20,6613,2.2,0,30.419,45.30590193481203,2336.97,GRA_24
25,25,28.26891872,-16.58262875,344769,3128008,2274.47,30611,20,6573,2.2,0,30.611,45.49251848729056,2322.693,GRA_25
26,26,28.27564073,-16.57808961,345224,3128747,2219.18,29871,20,6130,2.2,0,29.871,44.74307115264205,2267.372,GRA_26
27,27,28.27980382,-16.57630571,345405,3129206,2189.96,30998,20,5987,2.2,0,30.998,45.86612200296123,2238.139,GRA_27
28,28,28.28245429,-16.57185886,345845,3129494,2164.06,30865,20,5918,2.2,0,30.865,45.72703641349194,2212.22,GRA_28
29,29,28.28523352,-16.56718938,346307,3129796,2146.89,32111,20,5915,2.2,0,32.111,46.96509960954654,2195.024,GRA_29
30,30,28.28814677,-16.56498899,346527,3130116,2140.6,32856,20,6007,2.2,0,32.856,47.70314872788849,2188.711,GRA_30
31,31,28.29086472,-16.56486561,346543,3130417,2136.72,32272,20,6042,2.2,0,32.272,47.11554231357435,2184.82,GRA_31
32,32,28.2143884,-16.67589484,335536,3122089,2035.14,50504,20,6181,2.2,0,50.504,65.3355431802956,2083.201,GRA_32
33,33,28.2166214,-16.68072856,335065,3122343,2046.19,50886,20,6041,2.2,0,50.886,65.71748012373213,2094.251,GRA_33
34,34,28.22009543,-16.6837072,334778,3122732,2059.67,50644,20,6062,2.2,0,50.644,65.47788612491435,2107.738,GRA_34
35,35,28.2240699,-16.6870811,334453,3123177,2072.8,50777,20,6215,2.2,0,50.777,65.61199812335835,2120.872,GRA_35
36,36,28.23050506,-16.692155,333965,3123897,2091.28,49957,20,6460,2.2,0,49.957,64.79451859391443,2139.36,GRA_36
37,37,28.23364047,-16.69476222,333714,3124248,2087.94,48838,20,6565,2.2,0,48.838,63.67615537292833,2136.022,GRA_37
38,38,28.22104931,-16.67805706,335334,3122830,2045.89,49962,20,5849,2.2,0,49.962,64.80518319670782,2093.988,GRA_38
39,39,28.2246935,-16.67747213,335397,3123233,2063.14,48395,20,5921,2.2,0,48.395,63.245688812118246,2111.263,GRA_39
40,40,28.23100368,-16.67805994,335349,3123933,2093.5,47229,20,6247,2.2,0,47.229,62.090610694147934,2141.658,GRA_40
41,41,28.23481873,-16.67972972,335191,3124358,2126.59,45121,20,6637,2.2,0,45.121,59.98586015798905,2174.759,GRA_41
42,42,28.23849431,-16.67658742,335505,3124761,2184.95,42555,20,7409,2.2,0,42.555,57.426655281988346,2233.141,GRA_42
43,43,28.24188237,-16.67701748,335468,3125137,2248.93,40959,20,8170,2.2,0,40.959,55.83260726524373,2297.127,GRA_43
44,44,28.2446441,-16.67847728,335329,3125445,2302.16,39951,20,8862,2.2,0,39.951,54.82476069204031,2350.358,GRA_44
45,45,28.23695177,-16.67063239,336087,3124582,2211.72,41377,20,7498,2.2,0,41.377,56.25523118884766,2259.932,GRA_45
46,46,28.22705923,-16.67147687,335989,3123487,2067.92,45872,20,6063,2.2,0,45.872,60.73483967346104,2116.082,GRA_46
