fid,id,distance,angle,vertex_index,vertex_part,vertex_part_index,gradient
"1",,0,42.5287130467809,"0","0","0",0.387
"2",,0,42.5287130467809,"1","0","1",0.387
"3",,0,42.5287130467809,"2","0","2",0.387
"4",,0,42.5287130467809,"3","0","3",0.387
"5",,0,42.5287130467809,"4","0","4",0.388
"6",,0,42.5287130467809,"5","0","5",0.389
"7",,0,42.5287130467809,"6","0","6",0.384
"8",,0,42.5287130467809,"7","0","7",0.391
"9",,0,42.5287130467809,"8","0","8",0.394
"10",,0,42.5287130467809,"9","0","9",0.391
"11",,0,42.5287130467809,"10","0","10",0.399
"12",,0,42.5287130467809,"11","0","11",0.406
"13",,0,42.5287130467809,"12","0","12",0.404
"14",,0,42.5287130467809,"13","0","13",0.415
"15",,0,42.5287130467809,"14","0","14",0.425
"16",,0,42.5287130467809,"15","0","15",0.425
"17",,0,42.5287130467809,"16","0","16",0.438
"18",,0,42.5287130467809,"17","0","17",0.438
"19",,0,42.5287130467809,"18","0","18",0.453
"20",,0,42.5287130467809,"19","0","19",0.467
"21",,0,42.5287130467809,"20","0","20",0.467
"22",,0,42.5287130467809,"21","0","21",0.482
"23",,0,42.5287130467809,"22","0","22",0.496
"24",,0,42.5287130467809,"23","0","23",0.496
"25",,0,42.5287130467809,"24","0","24",0.508
"26",,0,42.5287130467809,"25","0","25",0.518
"27",,0,42.5287130467809,"26","0","26",0.52
"28",,0,42.5287130467809,"27","0","27",0.524
"29",,0,42.5287130467809,"28","0","28",0.525
"30",,0,42.5287130467809,"29","0","29",0.525
"31",,0,42.5287130467809,"30","0","30",0.521
"32",,0,42.5287130467809,"31","0","31",0.511
"33",,0,42.5287130467809,"32","0","32",0.508
"34",,0,42.5287130467809,"33","0","33",0.49
"35",,0,42.5287130467809,"34","0","34",0.49
"36",,0,42.5287130467809,"35","0","35",0.465
"37",,0,42.5287130467809,"36","0","36",0.434
"38",,0,42.5287130467809,"37","0","37",0.434
"39",,0,42.5287130467809,"38","0","38",0.399
"40",,0,42.5287130467809,"39","0","39",0.361
"41",,0,42.5287130467809,"40","0","40",0.361
"42",,0,42.5287130467809,"41","0","41",0.322
"43",,0,42.5287130467809,"42","0","42",0.286
"44",,0,42.5287130467809,"43","0","43",0.285
"45",,0,42.5287130467809,"44","0","44",0.256
"46",,0,42.5287130467809,"45","0","45",0.237
"47",,0,42.5287130467809,"46","0","46",0.242
"48",,0,42.5287130467809,"47","0","47",0.23
"49",,0,42.5287130467809,"48","0","48",0.238
"50",,0,42.5287130467809,"49","0","49",0.245
"51",,0,42.5287130467809,"50","0","50",0.261
"52",,0,42.5287130467809,"51","0","51",0.261
"53",,0,42.5287130467809,"52","0","52",0.282
"54",,0,42.5287130467809,"53","0","53",0.305
"55",,0,42.5287130467809,"54","0","54",0.305
"56",,0,42.5287130467809,"55","0","55",0.327
"57",,0,42.5287130467809,"56","0","56",0.348
"58",,0,42.5287130467809,"57","0","57",0.348
"59",,0,42.5287130467809,"58","0","58",0.367
"60",,0,42.5287130467809,"59","0","59",0.384
"61",,0,42.5287130467809,"60","0","60",0.367
"62",,0,42.5287130467809,"61","0","61",0.4
"63",,0,42.5287130467809,"62","0","62",0.415
"64",,0,42.5287130467809,"63","0","63",0.397
"65",,0,42.5287130467809,"64","0","64",0.43
"66",,0,42.5287130467809,"65","0","65",0.445
"67",,0,42.5287130467809,"66","0","66",0.429
"68",,0,42.5287130467809,"67","0","67",0.446
"69",,0,42.5287130467809,"68","0","68",0.446
"70",,0,42.5287130467809,"69","0","69",0.465
"71",,0,42.5287130467809,"70","0","70",0.484
"72",,0,42.5287130467809,"71","0","71",0.484
"73",,0,42.5287130467809,"72","0","72",0.502
"74",,0,42.5287130467809,"73","0","73",0.518
"75",,0,42.5287130467809,"74","0","74",0.518
"76",,0,42.5287130467809,"75","0","75",0.532
"77",,0,42.5287130467809,"76","0","76",0.544
"78",,0,42.5287130467809,"77","0","77",0.533
"79",,0,42.5287130467809,"78","0","78",0.552
"80",,0,42.5287130467809,"79","0","79",0.556
"81",,0,42.5287130467809,"80","0","80",0.545
"82",,0,42.5287130467809,"81","0","81",0.556
"83",,0,42.5287130467809,"82","0","82",0.552
"84",,0,42.5287130467809,"83","0","83",0.54
"85",,0,42.5287130467809,"84","0","84",0.544
"86",,0,42.5287130467809,"85","0","85",0.532
"87",,0,42.5287130467809,"86","0","86",0.521
"88",,0,42.5287130467809,"87","0","87",0.507
"89",,0,42.5287130467809,"88","0","88",0.507
"90",,0,42.5287130467809,"89","0","89",0.491
"91",,0,42.5287130467809,"90","0","90",0.473
"92",,0,42.5287130467809,"91","0","91",0.473
"93",,0,42.5287130467809,"92","0","92",0.455
"94",,0,42.5287130467809,"93","0","93",0.436
"95",,0,42.5287130467809,"94","0","94",0.426
"96",,0,42.5287130467809,"95","0","95",0.418
"97",,0,42.5287130467809,"96","0","96",0.4
"98",,0,42.5287130467809,"97","0","97",0.391
"99",,0,42.5287130467809,"98","0","98",0.383
"100",,0,42.5287130467809,"99","0","99",0.375
"101",,0,42.5287130467809,"100","0","100",0.36
"102",,0,42.5287130467809,"101","0","101",0.353
